Name,Comment,Time,Likes,Reply Count
Pua Ka,SEANDAINYA VOB LAHIR DI TAHUN 2000an SAYA YAKIN BAKAN BOOMING BANGAT NI BAND 🤟,2022-03-29T08:58:07Z,3,0
Meii,Keren deh,2022-03-29T05:14:27Z,2,0
HLMI,"Haseek suka deh,sampe ku download",2022-03-29T04:46:22Z,2,0
YPM- Yang Penting Mancing,"Vob makin gacorrr,, sukses terus.
Salam sadulur sunda..👍🏻👍🏻",2022-03-29T04:32:59Z,2,0
Tomorrow Better,Buat terus lagu banyak2. Upload terus di youtube. Siapa tau ada yang viral di level dunia. Manfaatkan moment sudah mulai terkenal di dunia ini. Nggk usah mikir untung rugi dulu. Kalo sudah viral di dunia baru mikir untung rugi. Tanda viral dunia kalo viewnya diatas 75 jt seperti lagu metalica. Gitu bro🙂,2022-03-29T03:43:45Z,4,0
Adi Wien,Backing vocal.nya yang joss kalo pas tampil live VOB.... Semangat semoga sukses selalu....,2022-03-28T20:35:48Z,2,0
Ashabul Kahfi's Dog,"Di lagu ini vocal & musiknya bener² nyatu banget, VoB dapet banget di lagu ini",2022-03-28T18:41:29Z,3,0
Rian Afrizal,Gila sound-nya pake earphone kaya dengar metallica,2022-03-28T18:30:32Z,3,0
Widodo Wudo,Sangat membanggakan se kelas dunia,2022-03-28T12:04:21Z,3,0
Raihafiy Ahmed,muga slalu solit... jalanmu masih panjang.. 👍👍,2022-03-28T08:14:30Z,3,0
aik abd roqib,"Saya yg sudah 61 thn, jadi suka banget sama VOB, mantab anak2ku love from Banyuwangi East Java..",2022-03-28T06:59:07Z,4,4
Luqmanography,Sangat mantaaabbb mazeeeeeehhhh 🔥🔥🔥,2022-03-27T15:24:56Z,3,0
Samsul Bahri,"Terus terang aje nih , jalan improf lead guitarnya vob inih masih sangat terasa kuraaaang sip/hade !!!
Untuk ituh , harus dilancarkan atuh/latihan ARPEGGIO nya .

🙃💬 jangan marah ye , .... harap semoga di maklumin !!",2022-03-27T14:37:59Z,2,2
Faqhi Abdullah,"Wooww Amazing ....lirik liriknya selalu tajam membunuh jiwa jiwa si pendosa ....good job grils ....good job VOB .....lanjutkaann !!!🤓🇮🇩☝👍👌
#Barudakpadjajaran",2022-03-27T06:24:02Z,5,0
Julian Abrati,Merindinggg,2022-03-26T11:39:35Z,6,0
Phobia gamer,Ko gua merinding denger aransemen musik nya kaya ada unsur punk dan Grunge nya 🙏🙏🙏🙏... Good job girls🤙🤙🤙,2022-03-26T03:02:33Z,3,2
Limb Bizkit style,Mantapp yak... autentik bgt musiknya.,2022-03-27T10:09:47Z,1,
Zaki Asufi,"Ini hip metal funky, basis nya penggemar berst musik funky.",2022-03-26T08:12:10Z,1,
